gene_name;gi;pident;evalue;description
THTET00000007921;gi|391359381|sp|D5LMJ3.1|VM3A_NAJAT;30.337;7.2;"RecName: Full=Zinc metalloproteinase-disintegrin-like atrase-A; AltName: Full=Snake venom metalloproteinase; Short=SVMP; Flags: Precursor"
THTET00000008169;gi|403377887|sp|C5NU54.1|STTH_STRNR;31.169;2.93E-07;RecName: Full=Streptothricin hydrolase
THTET00000008025;gi|547891|sp|P36225.1|MAP4_BOVIN;31.081;5.4;"RecName: Full=Microtubule-associated protein 4; Short=MAP-4; AltName: Full=Microtubule-associated protein U; Short=MAP-U"
THTET00000008505;gi|74626930|sp|O74944.3|POLK_SCHPO;40.512;5.90E-114;"RecName: Full=DNA polymerase kappa; AltName: Full=Meiotically up-regulated gene 40 protein"
THTET00000008505;gi|74626930|sp|O74944.3|POLK_SCHPO;28.205;9.3;"RecName: Full=DNA polymerase kappa; AltName: Full=Meiotically up-regulated gene 40 protein"
THTET00000007916;gi|1075594226|sp|B8NM67.1|USTYA_ASPFN;44.828;7.02E-09;"RecName: Full=Oxidase ustYa; AltName: Full=Ustiloxin B biosynthesis protein Ya"
THTET00000008366;gi|82207912|sp|Q7SXW0.1|S2539_DANRE;25.294;5.70E-04;RecName: Full=Solute carrier family 25 member 39
THTET00000008462;gi|74625010|sp|Q9P3U2.1|YKX4_SCHPO;66.766;3.13E-149;RecName: Full=Uncharacterized AAA domain-containing protein C328.04
THTET00000008279;gi|62286660|sp|Q601W8.1|EFG_MYCH2;30.769;5.9;"RecName: Full=Elongation factor G; Short=EF-G"
THTET00000008153;gi|68067450|sp|P17765.2|POLG_BYMV;30.233;1.7;"RecName: Full=Genome polyprotein; Contains: RecName: Full=P1 proteinase; AltName: Full=N-terminal protein; Contains: RecName: Full=Helper component proteinase; Short=HC-pro; Contains: RecName: Full=Protein P3; Contains: RecName: Full=6 kDa protein 1; Short=6K1; Contains: RecName: Full=Cytoplasmic inclusion protein; Short=CI; Contains: RecName: Full=6 kDa protein 2; Short=6K2; Contains: RecName: Full=Viral genome-linked protein; AltName: Full=VPg; Contains: RecName: Full=Nuclear inclusion protein A; Short=NI-a; Short=NIa; AltName: Full=49 kDa proteinase; Short=49 kDa-Pro; AltName: Full=NIa-pro; Contains: RecName: Full=Nuclear inclusion protein B; Short=NI-b; Short=NIb; AltName: Full=RNA-directed RNA polymerase; Contains: RecName: Full=Capsid protein; Short=CP; AltName: Full=Coat protein"
THTET00000008220;gi|254782864|sp|B9DW16.1|SYL_STRU0;32.967;3.6;"RecName: Full=Leucine--tRNA ligase; AltName: Full=Leucyl-tRNA synthetase; Short=LeuRS"
THTET00000007987;gi|45477163|sp|Q9C1K6.1|PDX1_NEUCR;84.053;0;"RecName: Full=Probable pyridoxal 5'-phosphate synthase subunit pdx-1; Short=PLP synthase subunit pdx-1"
THTET00000007630;gi|1723971|sp|P53073.1|EMC4_YEAST;38.514;2.17E-22;RecName: Full=ER membrane protein complex subunit 4
THTET00000008338;gi|408407796|sp|F4J2Z7.1|SDR4_ARATH;33.333;3.37E-06;"RecName: Full=Short-chain dehydrogenase reductase 4; Short=AtSDR4"
THTET00000008281;gi|75273615|sp|Q9LJP4.1|CSLC4_ARATH;28.302;0.012;"RecName: Full=Xyloglucan glycosyltransferase 4; AltName: Full=Cellulose synthase-like protein C4; Short=AtCslC4; AltName: Full=Xyloglucan synthase 4"
THTET00000008397;gi|74858145|sp|Q55BI3.1|OTU1_DICDI;33.746;1.07E-50;RecName: Full=Ubiquitin thioesterase OTU1
THTET00000008247;gi|122959628|sp|Q0VRV7.1|RF3_ALCBS;28.125;1.9;"RecName: Full=Peptide chain release factor 3; Short=RF-3"
THTET00000008414;gi|1174862|sp|Q09738.1|UBP8_SCHPO;31.4;3.51E-68;"RecName: Full=Probable ubiquitin carboxyl-terminal hydrolase 8; AltName: Full=Deubiquitinating enzyme 8; AltName: Full=Ubiquitin thioesterase 8; AltName: Full=Ubiquitin-specific-processing protease 8"
THTET00000008210;gi|122209180|sp|Q2V2W7.1|DF274_ARATH;34;4.6;"RecName: Full=Putative defensin-like protein 274; Flags: Precursor"
THTET00000008233;gi|115679|sp|P18122.1|CATA1_MAIZE;40.741;0.012;RecName: Full=Catalase isozyme 1
THTET00000008270;gi|1042851763|sp|D7PI00.1|VRTR1_PENAE;40.616;2.89E-172;"RecName: Full=Transcription factor vrtR1; AltName: Full=Viridicatumtoxin synthesis protein R1"
THTET00000007654;gi|2493092|sp|Q06405.1|ATPK_YEAST;55.789;1.66E-30;"RecName: Full=ATP synthase subunit f, mitochondrial; Flags: Precursor"
THTET00000008421;gi|857217515|sp|G0SB44.1|PO152_CHATD;79.414;0;"RecName: Full=Nucleoporin POM152; AltName: Full=Nuclear pore protein POM152; AltName: Full=Pore membrane protein POM152"
THTET00000008118;gi|74731090|sp|Q96A58.1|RERG_HUMAN;24.157;4.63E-05;RecName: Full=Ras-related and estrogen-regulated growth inhibitor
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;44;0.001;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;39.583;0.009;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;39.583;0.014;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;42.857;0.055;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;45.238;0.059;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;38.095;0.066;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
THTET00000008165;gi|115347|sp|P27393.1|CO4A2_ASCSU;44.186;0.074;"RecName: Full=Collagen alpha-2(IV) chain; Flags: Precursor"
